Timestamp,ECG
07/05/2018 10:47:28.062,2034
07/05/2018 10:47:28.066,2033
07/05/2018 10:47:28.070,2033
07/05/2018 10:47:28.074,2033
07/05/2018 10:47:28.078,2033
07/05/2018 10:47:28.082,2035
07/05/2018 10:47:28.086,2036
07/05/2018 10:47:28.090,2036
07/05/2018 10:47:28.094,2037
07/05/2018 10:47:28.098,2036
07/05/2018 10:47:28.102,2036
07/05/2018 10:47:28.106,2036
07/05/2018 10:47:28.110,2035
07/05/2018 10:47:28.114,2035
07/05/2018 10:47:28.118,2035
07/05/2018 10:47:28.122,2036
07/05/2018 10:47:28.126,2037
07/05/2018 10:47:28.130,2038
07/05/2018 10:47:28.134,2038
07/05/2018 10:47:28.138,2039
07/05/2018 10:47:28.142,2039
07/05/2018 10:47:28.146,2038
07/05/2018 10:47:28.150,2038
07/05/2018 10:47:28.154,2038
07/05/2018 10:47:28.158,2038
07/05/2018 10:47:28.162,2038
07/05/2018 10:47:28.166,2038
07/05/2018 10:47:28.170,2038
07/05/2018 10:47:28.174,2039
07/05/2018 10:47:28.178,2039
07/05/2018 10:47:28.182,2039
07/05/2018 10:47:28.186,2039
07/05/2018 10:47:28.190,2038
07/05/2018 10:47:28.194,2038
07/05/2018 10:47:28.198,2038
07/05/2018 10:47:28.202,2039
07/05/2018 10:47:28.206,2040
07/05/2018 10:47:28.210,2041
07/05/2018 10:47:28.214,2042
07/05/2018 10:47:28.218,2043
07/05/2018 10:47:28.222,2042
07/05/2018 10:47:28.226,2041
07/05/2018 10:47:28.230,2040
07/05/2018 10:47:28.234,2040
07/05/2018 10:47:28.238,2040
07/05/2018 10:47:28.242,2042
07/05/2018 10:47:28.246,2043
07/05/2018 10:47:28.250,2045
07/05/2018 10:47:28.254,2046
07/05/2018 10:47:28.258,2047
07/05/2018 10:47:28.262,2048
07/05/2018 10:47:28.266,2048
07/05/2018 10:47:28.270,2048
07/05/2018 10:47:28.274,2049
07/05/2018 10:47:28.278,2051
07/05/2018 10:47:28.282,2052
07/05/2018 10:47:28.286,2052
07/05/2018 10:47:28.290,2051
07/05/2018 10:47:28.294,2048
07/05/2018 10:47:28.298,2045
07/05/2018 10:47:28.302,2042
07/05/2018 10:47:28.306,2040
07/05/2018 10:47:28.310,2038
07/05/2018 10:47:28.314,2037
07/05/2018 10:47:28.318,2037
07/05/2018 10:47:28.322,2039
07/05/2018 10:47:28.326,2041
07/05/2018 10:47:28.330,2043
07/05/2018 10:47:28.334,2044
07/05/2018 10:47:28.338,2045
07/05/2018 10:47:28.342,2044
07/05/2018 10:47:28.346,2043
07/05/2018 10:47:28.350,2040
07/05/2018 10:47:28.354,2037
07/05/2018 10:47:28.358,2033
07/05/2018 10:47:28.362,2033
07/05/2018 10:47:28.366,2041
07/05/2018 10:47:28.370,2061
07/05/2018 10:47:28.374,2098
07/05/2018 10:47:28.378,2151
07/05/2018 10:47:28.382,2217
07/05/2018 10:47:28.386,2285
07/05/2018 10:47:28.390,2334
07/05/2018 10:47:28.394,2340
07/05/2018 10:47:28.398,2289
07/05/2018 10:47:28.402,2187
07/05/2018 10:47:28.406,2063
07/05/2018 10:47:28.410,1958
07/05/2018 10:47:28.414,1898
07/05/2018 10:47:28.418,1892
07/05/2018 10:47:28.422,1922
07/05/2018 10:47:28.426,1966
07/05/2018 10:47:28.430,2004
07/05/2018 10:47:28.434,2028
07/05/2018 10:47:28.438,2041
07/05/2018 10:47:28.442,2048
07/05/2018 10:47:28.446,2050
07/05/2018 10:47:28.450,2050
07/05/2018 10:47:28.454,2050
07/05/2018 10:47:28.458,2051
07/05/2018 10:47:28.462,2053
07/05/2018 10:47:28.466,2054
07/05/2018 10:47:28.470,2054
07/05/2018 10:47:28.474,2055
07/05/2018 10:47:28.478,2055
07/05/2018 10:47:28.482,2057
07/05/2018 10:47:28.486,2059
07/05/2018 10:47:28.490,2061
07/05/2018 10:47:28.494,2062
07/05/2018 10:47:28.498,2063
07/05/2018 10:47:28.502,2063
07/05/2018 10:47:28.506,2063
07/05/2018 10:47:28.510,2063
07/05/2018 10:47:28.514,2064
07/05/2018 10:47:28.518,2065
07/05/2018 10:47:28.522,2067
07/05/2018 10:47:28.526,2068
07/05/2018 10:47:28.530,2070
07/05/2018 10:47:28.534,2071
07/05/2018 10:47:28.538,2072
07/05/2018 10:47:28.542,2073
07/05/2018 10:47:28.546,2073
07/05/2018 10:47:28.550,2074
07/05/2018 10:47:28.554,2075
07/05/2018 10:47:28.558,2076
07/05/2018 10:47:28.562,2078
07/05/2018 10:47:28.566,2079
07/05/2018 10:47:28.570,2081
07/05/2018 10:47:28.574,2083
07/05/2018 10:47:28.578,2085
07/05/2018 10:47:28.582,2087
07/05/2018 10:47:28.586,2088
07/05/2018 10:47:28.590,2090
07/05/2018 10:47:28.594,2092
07/05/2018 10:47:28.598,2095
07/05/2018 10:47:28.602,2098
07/05/2018 10:47:28.606,2100
07/05/2018 10:47:28.610,2103
07/05/2018 10:47:28.614,2105
07/05/2018 10:47:28.618,2108
07/05/2018 10:47:28.622,2112
07/05/2018 10:47:28.626,2115
07/05/2018 10:47:28.630,2118
07/05/2018 10:47:28.634,2121
07/05/2018 10:47:28.638,2125
07/05/2018 10:47:28.642,2129
07/05/2018 10:47:28.646,2134
07/05/2018 10:47:28.650,2138
07/05/2018 10:47:28.654,2142
07/05/2018 10:47:28.658,2146
07/05/2018 10:47:28.662,2148
07/05/2018 10:47:28.666,2149
07/05/2018 10:47:28.670,2150
07/05/2018 10:47:28.674,2151
07/05/2018 10:47:28.678,2153
07/05/2018 10:47:28.682,2154
07/05/2018 10:47:28.686,2155
07/05/2018 10:47:28.690,2156
07/05/2018 10:47:28.694,2156
07/05/2018 10:47:28.698,2155
07/05/2018 10:47:28.702,2153
07/05/2018 10:47:28.706,2148
07/05/2018 10:47:28.710,2142
07/05/2018 10:47:28.714,2135
07/05/2018 10:47:28.718,2127
07/05/2018 10:47:28.722,2120
07/05/2018 10:47:28.726,2111
07/05/2018 10:47:28.730,2102
07/05/2018 10:47:28.734,2093
07/05/2018 10:47:28.738,2082
07/05/2018 10:47:28.742,2073
07/05/2018 10:47:28.746,2064
07/05/2018 10:47:28.750,2056
07/05/2018 10:47:28.754,2049
07/05/2018 10:47:28.758,2045
07/05/2018 10:47:28.762,2040
07/05/2018 10:47:28.766,2036
07/05/2018 10:47:28.770,2032
07/05/2018 10:47:28.774,2030
07/05/2018 10:47:28.778,2028
07/05/2018 10:47:28.782,2026
07/05/2018 10:47:28.786,2025
07/05/2018 10:47:28.790,2023
07/05/2018 10:47:28.794,2022
07/05/2018 10:47:28.798,2021
07/05/2018 10:47:28.802,2021
07/05/2018 10:47:28.806,2022
07/05/2018 10:47:28.810,2022
07/05/2018 10:47:28.814,2023
07/05/2018 10:47:28.818,2023
07/05/2018 10:47:28.822,2023
07/05/2018 10:47:28.826,2023
07/05/2018 10:47:28.830,2022
07/05/2018 10:47:28.834,2022
07/05/2018 10:47:28.838,2022
07/05/2018 10:47:28.842,2023
07/05/2018 10:47:28.846,2024
07/05/2018 10:47:28.850,2024
07/05/2018 10:47:28.854,2024
07/05/2018 10:47:28.858,2023
07/05/2018 10:47:28.862,2023
07/05/2018 10:47:28.866,2023
07/05/2018 10:47:28.870,2023
07/05/2018 10:47:28.874,2024
07/05/2018 10:47:28.878,2025
07/05/2018 10:47:28.882,2025
07/05/2018 10:47:28.886,2025
07/05/2018 10:47:28.890,2025
07/05/2018 10:47:28.894,2024
07/05/2018 10:47:28.898,2023
07/05/2018 10:47:28.902,2022
07/05/2018 10:47:28.906,2022
07/05/2018 10:47:28.910,2022
07/05/2018 10:47:28.914,2021
07/05/2018 10:47:28.918,2021
07/05/2018 10:47:28.922,2021
07/05/2018 10:47:28.926,2021
07/05/2018 10:47:28.930,2021
07/05/2018 10:47:28.934,2021
07/05/2018 10:47:28.938,2022
